C439,"22,222.22",10%,2222.22,,20000
C397,"35,294.12",15%,5294.12,,30000
C422,"35,294.12",15%,5294.12,,30000
C250,"42,352.94",15%,6352.94,,36000
C061,"35,294.12",15%,5294.12,,30000
C426,"40,000.00",10%,4000,,36000
571,"16,666.67",10%,1666.67,,15000
C459,"22,222.22",10%,2222.22,,20000
C441,"22,222.22",10%,2222.22,,20000
C362,"33,333.33",10%,3333.33,,30000
541,"22,222.22",10%,2222.22,,20000
C403,"22,222.22",10%,2222.22,,20000
C125,"16,666.67",10%,1666.67,,15000
C440,"27,777.78",10%,2777.78,,25000
C174,"42,352.94",15%,6352.94,,36000
C149,"103,529.41",15%,15529.41,,88000
